Python,Java,C++,SQL,Machine_Learning,Deep_Learning,NLP,Computer_Vision,AWS,Azure,Docker,Kubernetes,Git,Linux,Flask,Django,Pandas,NumPy,Scikit_Learn,TensorFlow,PyTorch,PowerBI,Tableau,Excel,MongoDB,MySQL,Internship_Months,Projects,Research_Papers,Open_Source,GitHub_Score,LeetCode_Rating,CGPA,AWS_Cert,Google_Cert,Microsoft_Cert,IBM_Cert,Cisco_Cert,Communication,Leadership,Teamwork,Problem_Solving,Career
1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,4,7,0,5,94,1604,8.89,0,0,0,0,0,10,7,10,8,AI Engineer
1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,3,5,0,5,65,1448,7.65,0,0,0,1,0,9,6,8,7,AI Engineer
1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,8,4,2,6,50,1829,7.51,0,0,0,0,0,6,10,8,10,AI Engineer
1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,9,5,1,4,65,1664,8.51,0,1,1,1,0,7,9,7,6,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,4,5,1,3,74,1818,7.82,1,0,0,1,0,10,5,6,10,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,12,7,1,0,72,1064,9.46,1,1,0,0,0,10,6,10,10,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,11,9,2,9,91,1983,7.52,0,1,0,0,1,6,5,10,7,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,5,7,1,0,59,1646,9.57,0,0,0,1,1,6,7,10,9,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,6,7,2,4,95,1042,9.72,1,0,0,0,0,6,5,8,7,AI Engineer
1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,11,6,3,5,65,1505,8.78,1,0,0,0,1,10,7,9,10,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,10,7,1,6,71,1718,8.06,0,1,0,0,1,9,6,7,10,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,7,5,2,5,60,2006,7.69,1,0,1,1,0,8,9,9,9,AI Engineer
1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,5,8,0,6,77,2055,9.02,1,0,0,1,1,8,6,9,8,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,4,10,1,4,46,2085,7.56,1,0,0,0,0,6,9,7,6,AI Engineer
1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,12,6,2,3,93,1077,8.14,0,0,0,0,1,9,7,7,9,AI Engineer
1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,10,6,2,4,54,1147,9.16,1,0,0,0,1,9,7,10,10,AI Engineer
1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,3,5,1,9,100,1522,7.7,1,0,0,0,0,10,8,9,9,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,6,7,0,8,54,1205,9.59,0,1,1,1,0,10,7,9,6,AI Engineer
1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,10,4,3,5,66,1582,8.24,1,1,0,0,0,9,9,6,9,AI Engineer
1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,9,4,1,1,69,1140,8.99,1,0,1,0,0,9,8,7,9,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,12,7,1,6,42,1551,9.21,0,0,0,0,0,7,8,6,7,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,7,5,0,6,46,2197,9.12,1,1,1,1,1,6,7,8,8,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,7,5,3,7,46,1385,8.38,0,1,0,1,0,9,7,6,10,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,9,5,1,2,90,2004,9.52,0,0,1,1,0,9,7,8,6,AI Engineer
1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,10,9,2,10,66,1138,7.82,0,1,0,1,0,7,8,9,8,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,6,9,0,0,90,1583,8.06,1,0,1,0,1,7,6,8,7,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,11,6,3,10,41,1024,9.8,0,0,1,0,0,6,7,10,7,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,10,4,0,1,45,1784,7.72,0,0,0,0,0,8,10,6,9,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,7,4,1,4,84,1532,9.62,0,1,1,0,1,6,5,10,7,AI Engineer
1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,3,4,1,4,100,1332,9.26,0,1,1,0,0,7,8,10,7,AI Engineer
1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,7,9,2,3,61,1244,7.68,0,0,1,0,0,7,6,6,7,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,8,10,2,1,81,1084,8.91,0,0,0,0,0,9,9,7,8,AI Engineer
1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,12,10,1,5,45,2093,9.03,0,1,0,0,1,6,7,10,9,AI Engineer
1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,12,5,3,2,50,1270,9.41,0,0,1,0,0,7,8,10,8,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,4,10,1,4,68,1951,7.84,0,0,1,0,1,6,8,6,9,AI Engineer
1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,3,5,3,10,90,2175,8.55,1,0,0,1,0,7,10,7,8,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,11,6,1,10,69,1880,8.95,0,1,0,0,1,6,6,6,8,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,5,8,2,5,46,1063,8.25,1,0,0,1,0,9,5,8,10,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,9,6,2,3,47,953,9.19,0,0,0,1,1,9,6,10,8,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,8,8,2,7,91,2029,7.8,0,1,0,0,0,9,8,10,6,AI Engineer
1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,7,8,0,8,81,1245,8.86,0,1,0,0,1,10,5,6,6,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,5,10,2,8,75,1117,8.23,0,1,1,1,1,9,9,9,7,AI Engineer
1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,8,10,3,5,42,1720,7.62,0,0,1,0,0,10,7,10,10,AI Engineer
1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,12,6,3,0,63,1578,9.05,0,0,0,0,0,6,9,9,8,AI Engineer
